Id,SalePrice,ActualSalePrice,abs.SalePrice...ActualSalePrice.
1461,137552.6667,127860.8294,9691.837267
1462,149532.1533,154529.0884,4996.935067
1463,181217.7767,180800.893,416.8836667
1464,183945.08,187795.8901,3850.8101
1465,191678.52,196562.6053,4884.0853
1466,182080.8847,182923.1586,842.2739333
1467,169582.0203,171826.7418,2244.721467
1468,173798.3547,175268.1023,1469.747633
1469,182678.574,179534.7895,3143.784548
1470,122903.535,125050.8129,2147.2779
1471,209404.3024,208889.3559,514.946481
1472,97157.965,97729.59582,571.63082
1473,105077.2533,102408.6347,2668.618633
1474,149364.3107,151844.4641,2480.153433
1475,122555.5867,119832.1419,2723.444767
1476,392539.594,384479.1062,8060.4878
1477,255514.737,256024.7009,509.9639476
1478,323716.453,309191.9741,14524.4789
1479,301328.393,295656.9648,5671.4282
1480,457836.9207,472331.0995,14494.17879
1481,310236.8023,316782.9612,6546.158892
1482,212237.6,208421.2514,3816.3486
1483,181119.2867,184893.0061,3773.719433
1484,174078.6627,176916.1636,2837.500933
1485,179762.2093,179584.4669,177.7424333
1486,202968.2347,201007.8445,1960.390247
1487,305774.405,323255.9929,17481.5879
1488,247601.18,243518.8266,4082.353352
1489,211783.6542,211890.8182,107.1640095
1490,219629.0987,229668.4545,10039.35583
1491,193782.7373,199093.7707,5311.033367
1492,102919.285,105221.6024,2302.3174
1493,182974.3867,178400.0648,4574.321867
1494,310207.4727,295781.2649,14426.20777
1495,286948.34,290646.8102,3698.4702
1496,234843.6193,240904.0441,6060.424767
1497,185504.395,183531.7217,1972.67327
1498,159130.9633,158123.4857,1007.477633
1499,155943.4853,156966.5047,1023.019367
1500,157939.3363,159506.9104,1567.574067
1501,167023.7753,172498.8672,5475.091867
1502,164162.3443,162428.6029,1733.741433
1503,284981.4783,286680.4767,1698.998367
1504,230497.4035,233925.8221,3428.418571
1505,214568.2773,223441.9794,8873.702067
1506,172979.068,181156.3761,8177.3081
1507,248887.8027,247096.1082,1791.694467
1508,202008.9767,186535.655,15473.32167
1509,159781.5813,159337.6796,443.9017333
1510,151017.6333,152006.9816,989.3482667
1511,149297.1783,148674.7369,622.4414333
1512,167941.15,170921.2757,2980.1257
1513,143152.945,147633.0356,4480.0906
1514,182511.8083,165689.9859,16821.82243
1515,194067.84,203577.2061,9509.3661
1516,145163.0633,153378.1081,8215.044767
1517,148566.0433,153152.8299,4586.786567
1518,135221.24,136587.1915,1365.9515
1519,233443.6667,229816.5017,3627.164967
1520,136245.0467,137683.0161,1437.969433
1521,142397.6667,142256.7617,140.9049667
1522,163471.9517,164810.4745,1338.522833
1523,117097.9733,114318.2403,2779.733033
1524,124652.2083,122704.2341,1947.974233
1525,128642.5917,128396.2638,246.3278667
1526,129375.085,127139.6833,2235.4017
1527,119096.51,113296.6666,5799.8434
1528,125856.6467,126291.2784,434.6317333
1529,143595.775,143485.0156,110.7594
1530,164474.0147,168037.598,3563.583333
1531,142448.0007,141040.6456,1407.355067
1532,104139.964,108149.1316,4009.1676
1533,148692.6733,147452.4204,1240.252933
1534,116826.6067,117880.3066,1053.699933
1535,151403.5083,149451.5965,1951.911833
1536,120082.2633,121003.6724,921.4090667
1537,106984.482,102040.566,4943.916
1538,160491.9707,159631.0953,860.8753667
1539,219964.4607,215473.5849,4490.875767
1540,126258.3633,129359.1765,3100.813167
1541,148656.3271,141342.3615,7313.965643
1542,136289.2147,137381.4347,1092.220033
1543,189543.7,190056.4943,512.7943
1544,92447.89867,90226.35729,2221.541377
1545,106544.1933,104477.2995,2066.893833
1546,123182.16,127502.5548,4320.3948
1547,136382.7067,136103.9234,278.7832667
1548,128923.255,126984.4896,1938.7654
1549,126633.2903,115712.4155,10920.87483
1550,140071.86,141745.0371,1673.1771
1551,120684.3238,120341.3204,343.0034095
1552,152527.726,155753.5382,3225.8122
1553,152312.5297,147193.2658,5119.263867
1554,117835.9313,118612.006,776.0746667
1555,177310.1587,168504.2734,8805.885267
1556,96341.03067,104761.2671,8420.236433
1557,130710.4917,122571.195,8139.296667
1558,99891.094,100994.554,1103.46
1559,118978.4267,120312.6232,1334.196533
1560,143859.8947,143784.265,75.62966667
1561,161661.196,160652.6902,1008.5058
1562,126443.5867,127575.4954,1131.908733
1563,121352.6833,122744.4412,1391.757867
1564,166014.0163,159780.079,6233.937333
1565,156263.0833,159201.8019,2938.718567
1566,232480.9347,220631.6082,11849.32647
1567,81895.784,91085.19207,9189.40807
1568,221435.2867,218658.2711,2777.015567
1569,157063.149,153724.5421,3338.6069
1570,135014.45,140684.3559,5669.9059
1571,137565.432,131447.991,6117.441
1572,141688.2933,143830.3757,2142.082367
1573,236907.1603,241997.958,5090.797667
1574,131052.2233,133903.5009,2851.277567
1575,214040.5153,220227.9468,6187.431467
1576,249637.9,246327.9741,3309.9259
1577,208716.0247,202664.1046,6051.920067
1578,143689.5583,143371.1066,318.4517333
