"Id","SalePrice"
1461,127196.804333333
1462,152883.2757
1463,177734.406566667
1464,183886.735333333
1465,197142.903433333
1466,184072.162333333
1467,173245.219333333
1468,174715.314966667
1469,179381.109633333
1470,123270.267266667
1471,201133.501833333
1472,96085.7810666667
1473,99757.2368333333
1474,153122.862333333
1475,127325.9355
1476,391761.020833333
1477,255786.461766667
1478,304855.212
1479,273463.4386
1480,477383.8079
1481,308503.791966667
1482,208390.083433333
1483,181999.0886
1484,171146.878433333
1485,173290.575533333
1486,198859.9152
1487,322939.015
1488,240405.0208
1489,209843.8655
1490,211178.6261
1491,192920.160666667
1492,99876.2047666666
1493,177291.6177
1494,301627.482133333
1495,292206.126533333
1496,231200.858633333
1497,187015.616633333
1498,155304.366933333
1499,153117.538933333
1500,160732.872933333
1501,174106.5671
1502,158439.290933333
1503,288877.266233333
1504,231909.361966667
1505,219480.770633333
1506,183122.8416
1507,240146.745066667
1508,191977.811466667
1509,161340.802166667
1510,151226.286933333
1511,148458.0048
1512,168701.483
1513,150935.1713
1514,159299.835333333
1515,195206.513
1516,158604.044033333
1517,151848.117766667
1518,134120.4974
1519,227892.2703
1520,136287.7985
1521,142905.012
1522,164365.7736
1523,116106.3154
1524,122557.699766667
1525,126616.104766667
1526,128181.019933333
1527,105900.0485
1528,127339.8105
1529,143044.836866667
1530,167604.926
1531,133839.631066667
1532,110489.501733333
1533,151087.349
1534,118915.745666667
1535,150677.2433
1536,118991.687833333
1537,93767.4171
1538,168677.6522
1539,227638.9453
1540,123478.736966667
1541,145101.0311
1542,143032.533733333
1543,204624.146933333
1544,85327.6367
1545,103974.778666667
1546,122730.4806
1547,137171.905166667
1548,131233.8352
1549,114506.068266667
1550,144776.207033333
1551,119879.5765
1552,150722.688833333
1553,144169.167166667
1554,114671.4889
1555,171530.078933333
1556,97705.1327666666
1557,124223.288733333
1558,94777.7893333333
1559,124847.300333333
1560,146128.3898
1561,161722.0103
1562,126254.636933333
1563,123647.389733333
1564,160468.669366667
1565,159662.423033333
1566,220446.500433333
1567,83789.0276
1568,218240.218666667
1569,149792.225
1570,133812.099833333
1571,132917.684266667
1572,143796.3665
1573,245348.510966667
1574,126158.099466667
1575,216684.417133333
1576,228167.728266667
1577,206110.0653
1578,146506.620533333
1579,143306.621333333
1580,189659.915133333
1581,136454.696566667
1582,128319.3249
1583,330535.537566667
1584,238339.4476
1585,139574.490733333
1586,77747.6745666667
1587,105793.2695
1588,145673.5421
1589,105261.244333333
1590,134279.2569
1591,106882.2605
1592,127440.759166667
1593,120346.956466667
1594,143572.575433333
1595,128826.105266667
1596,226576.271
1597,170295.794966667
1598,189041.2673
1599,185834.6601
1600,186683.306533333
1601,79151.0168333333
1602,113811.268466667
1603,99025.2905
1604,283326.613666667
1605,254433.150066667
1606,168330.0502
1607,172919.0822
1608,215283.668733333
1609,200705.016033333
1610,163779.574966667
1611,148976.401966667
1612,179859.1113
1613,170029.546133333
1614,125045.228033333
1615,87790.3063
1616,82673.9727666666
1617,87899.6560333333
1618,125800.9965
1619,133955.649066667
1620,176059.855433333
1621,141429.150733333
1622,147270.199966667
1623,284383.063466667
1624,214365.710666667
1625,128092.131866667
1626,170231.451033333
1627,186663.6066
1628,277583.737033333
1629,177541.552866667
1630,350961.320533333
1631,214533.729566667
1632,252105.0269
1633,171164.461466667
1634,184714.3843
1635,181846.7812
1636,166827.069333333
1637,183114.8816
1638,205708.6968
1639,182563.200833333
1640,244058.607733333
1641,179930.0276
1642,226801.829933333
1643,228668.513466667
1644,224883.043133333
1645,186876.9346
1646,156369.871933333
1647,161257.198866667
1648,139934.669633333
1649,136984.236733333
1650,122669.220066667
1651,122372.095133333
1652,94712.6514
1653,97588.1140666666
1654,154415.1515
1655,148801.063133333
1656,149066.3051
1657,154010.789233333
1658,154545.610633333
1659,134079.900433333
1660,150270.044633333
1661,451191.372133333
1662,373693.9507
1663,371907.398333333
1664,455391.255866667
1665,313474.384833333
1666,333040.2764
1667,363383.178133333
1668,329004.786333333
